,quadrat,year,aream2,areakm2,near_palm,near_river,near_road,POINT_X,POINT_Y
0,147.0,2001.0,466199.99999589985,0.46619999999589984,21083.03125,14412.6875,3436.65625,525781.0176427186,9043422.40867
1,147.0,2002.0,586225.0080014891,0.5862250080014891,20623.71153846154,14825.01923076923,3113.8076923076924,525328.5967331538,9043592.63683
2,147.0,2003.0,265880.8799998607,0.2658808799998607,21085.85714285714,14810.32142857143,3562.8214285714284,526193.8345850714,9044140.5069625
3,147.0,2004.0,357299.9999975326,0.3572999999975326,21442.964285714286,13928.0,3844.714285714286,525886.0356592857,9042902.247405002
4,147.0,2005.0,516284.78400194837,0.5162847840019483,20965.963636363635,14512.672727272728,3308.6181818181817,525576.9372508727,9043362.931695275
5,147.0,2006.0,266930.2679998579,0.2669302679998579,5703.394736842105,14478.815789473685,3375.2894736842104,525784.7480576315,9043459.991123948
6,147.0,2007.0,91799.99999850086,0.09179999999850086,3982.6666666666665,14490.222222222223,3176.0,525195.7166666667,9043104.816666666
7,147.0,2008.0,118971.68399971879,0.11897168399971879,3733.3,14811.15,2914.85,525067.3499084,9043393.1946885
8,147.0,2009.0,299827.09200101875,0.29982709200101876,2908.641025641026,14452.820512820514,3385.051282051282,525986.760350641,9043591.601203078
9,147.0,2010.0,158705.29200010764,0.15870529200010763,3090.3529411764707,14046.35294117647,3853.705882352941,525900.002169353,9043042.44472647
10,147.0,2011.0,79026.95999965425,0.07902695999965426,1777.9375,14840.9375,3776.3125,526536.6413690625,9044365.425595624
11,147.0,2012.0,1465233.4439973368,1.4652334439973367,2833.322222222222,14416.31111111111,3554.5333333333333,525792.0049003332,9043416.249685336
12,147.0,2013.0,514396.6920017906,0.5143966920017906,2508.5238095238096,14134.79365079365,3941.4444444444443,526199.7716597777,9043332.4662773
13,147.0,2014.0,378669.7319969946,0.3786697319969946,2448.0,14443.830188679245,3634.5283018867926,525988.5201928302,9043569.758930756
14,147.0,2015.0,110561.75999916725,0.11056175999916724,264.82608695652175,13840.478260869566,3897.913043478261,525937.383385087,9042800.138664782
15,148.0,2001.0,152771.08799926544,0.15277108799926545,24747.76923076923,11475.307692307691,6786.615384615385,529358.4074601538,9042277.889463078
16,148.0,2002.0,207032.21999796116,0.20703221999796115,24694.066666666666,11766.0,6365.466666666666,529588.7635265333,9042851.196376665
17,148.0,2003.0,648763.248005106,0.648763248005106,25019.904761904763,11967.547619047618,6191.047619047619,530418.0639479047,9043768.402170952
18,148.0,2004.0,137999.99999821317,0.13799999999821316,24668.333333333332,12046.666666666666,6111.533333333334,529850.3420454001,9043440.362837335
19,148.0,2005.0,1199873.040001894,1.1998730400018942,24761.72,11941.82,6148.04,529971.516067,9043414.8132874
20,148.0,2006.0,495613.8600028712,0.4956138600028712,2176.3333333333335,11849.033333333333,6307.866666666667,529794.5562760334,9043118.347720332
21,148.0,2007.0,216899.99999840092,0.21689999999840093,2231.35,12236.5,6041.5,529288.7521082001,9043195.962736499
22,148.0,2008.0,880283.5919992718,0.8802835919992718,1649.3188405797102,11856.536231884058,6351.434782608696,529986.5702335507,9043264.567023622
23,148.0,2009.0,802850.0160057665,0.8028500160057664,1026.057142857143,12273.285714285714,5914.071428571428,529952.1421502429,9043786.495969573
24,148.0,2010.0,340026.95999899064,0.34002695999899063,922.15625,11771.40625,6456.1875,530331.804008875,9043425.014143124
25,148.0,2011.0,479800.16399737506,0.4798001639973751,983.0,11584.906976744185,6637.6511627906975,530603.6449711162,9043392.10556442
26,148.0,2012.0,1523902.2480016402,1.5239022480016402,961.4567901234568,12001.703703703704,6150.061728395061,530096.7081958024,9043560.874798395
27,148.0,2013.0,889474.9919987794,0.8894749919987793,839.0681818181819,12499.272727272728,5700.159090909091,529859.2688402955,9043993.04880148
28,148.0,2014.0,569698.6439942477,0.5696986439942476,848.0413223140496,12456.876033057852,5780.231404958678,529862.821308562,9043911.072799917
29,148.0,2015.0,225809.3279976746,0.2258093279976746,225.8,12361.966666666667,5893.833333333333,530030.0890976334,9043886.650264332
30,165.0,2001.0,240299.99999677995,0.24029999999677995,18672.548387096773,18306.58064516129,1210.2903225806451,525162.4682286129,9047692.571232904
31,165.0,2002.0,166246.07999980415,0.16624607999980415,18743.722222222223,18071.833333333332,1282.111111111111,525157.9162525,9047463.375913333
32,165.0,2003.0,356515.5049644301,0.35651550496443013,19341.85714285714,18055.95238095238,1153.0,525996.9806373572,9048051.695225239
33,165.0,2004.0,9900.000001019798,0.009900000001019798,19181.333333333332,18177.333333333332,1240.0,525823.0,9048040.0
34,165.0,2005.0,448342.1760007309,0.4483421760007309,18931.430555555555,18333.125,1005.2638888888889,525557.5016612918,9048065.18213889
35,165.0,2006.0,171761.89200014956,0.17176189200014955,6804.0526315789475,18501.894736842107,804.1052631578947,526026.236884079,9048623.392468948
36,165.0,2007.0,44100.00000097789,0.04410000000097789,3310.4,18118.4,1059.2,525209.4565434001,9047547.938062
37,165.0,2008.0,371009.19599825866,0.37100919599825866,942.0370370370371,17000.37037037037,1560.4074074074074,526562.2190623333,9047166.246325925
38,165.0,2009.0,212769.73199921226,0.21276973199921226,1530.9148936170213,17965.042553191488,1265.9148936170213,525873.3940738296,9047835.84066617
39,165.0,2010.0,162900.0000023155,0.1629000000023155,953.6666666666666,18539.61111111111,957.6111111111111,525213.4751875,9048079.800707778
40,165.0,2011.0,125099.99999957654,0.12509999999957655,549.1379310344828,17862.206896551725,897.4137931034483,525938.3000853448,9047754.415483104
